m,scenario,d,d_se_U,d_se_L
1,S,302.0926941852024,301.9448403666925,302.24062040353084
2,S,258.7470158542269,258.49379971875516,259.0004800359239
3,S,221.6207789931618,221.29553335600136,221.94650265499305
4,S,189.82158893460144,189.45024266190913,190.19366309263347
5,S,162.5850959885336,162.18761355168087,162.9835525582695
6,S,139.25662294770837,138.84818314290936,139.66626423077213
7,S,119.27542876481051,118.8673878350379,119.68487039332314
8,S,102.16123015112584,101.76190693242697,102.56212035139767
9,S,87.50265711952298,87.11797147334548,87.88904141689578
10,S,74.94736498033866,74.58135546408664,75.3151706957232
11,S,64.19356511452546,63.84880741354619,64.5401843674616
12,S,54.98277095123831,54.660714903407204,55.3067245245249
13,S,47.09358478662031,46.794824755296375,47.39425224161304
14,S,40.33637609900499,40.060866890389015,40.61378005753339
15,S,34.54872344444316,34.29595183659326,34.80335805600966
16,S,29.59151037046337,29.36063055240847,29.824205731624204
17,S,25.345581506458892,25.135521257503953,25.55739725146019
18,S,21.70887845392839,21.518421675538804,21.901020940730117
19,S,18.593986632634156,18.421836836507282,18.767745147401293
20,S,15.926034116793089,15.770862637972689,16.082732347091326
21,S,13.640891956117597,13.50137397009751,13.781851667140348
22,S,11.683632723244603,11.558473576551249,11.8101471364355
23,S,10.007210236017741,9.8951641303858,10.120525075510177
24,S,8.57132871941628,8.471211403373635,8.67262927555226
25,S,7.341474225440675,7.252171029713845,7.431877100247647
26,S,6.288085029421229,6.208555322238254,6.368633487987785
27,S,5.385841061760036,5.3151199870163435,5.457503125686503
28,S,4.613055295343296,4.550253482511611,4.676723887951118
29,S,3.951152459545593,3.8954542523379128,4.0076470540511835
30,S,3.384222550796758,3.3348831862618775,3.4342918877944655
31,S,2.8986384075491953,2.854980483813274,2.9429639415597735
32,S,2.482728157384685,2.4441376527167553,2.521927967771903
33,S,2.126494662948449,2.0924167080290546,2.161127625389542
34,S,1.821375223098008,1.7913097796159707,1.8519452866642179
35,S,1.560035753259606,1.5335333130513606,1.5869962072136334
36,S,1.336194497753586,1.3128518858097542,1.3599521432120512
